periode_data;nama_sungai;nama_lokasi;parameter;satuan;nilai
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;TSS;MG/L;60
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;DO;MG/L;1.82
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;BOD;MG/L;2.87
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;COD;MG/L;15.69
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;NO2;MG/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;NO3;MG/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;NH3;MG/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;KLORIN BEBAS;MG/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;T-P JUMLAH;-;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;T-P;MG/L;0.07
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;FENOL;?/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;MINYAK LEMAK;?/L;0.07
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;DETERGEN;?/L;0.1
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;FECAL COLIFORM;JMLH/100ML;20
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;TOTAL COLIFORM;JMLH/100ML;250
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;SIANIDA;MG/L;-
201511;SUNGAI KRUKUT;JL. PURI KEMBANGAN MERUYA ILIR;H2S;MG/L;-
