tanggal,stasiun,ndvi
2010-01-01,DKI1,0.2023
2010-01-01,DKI2,0.0939
2010-01-01,DKI3,0.5332
2010-01-01,DKI4,0.5126
2010-01-01,DKI5,0.3705
2010-01-02,DKI1,0.20361875000000002
2010-01-02,DKI2,0.095225
2010-01-02,DKI3,0.516625
2010-01-02,DKI4,0.50871875
2010-01-02,DKI5,0.37764375
2010-01-03,DKI1,0.2049375
2010-01-03,DKI2,0.09655
2010-01-03,DKI3,0.50005
2010-01-03,DKI4,0.5048374999999999
2010-01-03,DKI5,0.3847875
2010-01-04,DKI1,0.20625625
2010-01-04,DKI2,0.09787499999999999
2010-01-04,DKI3,0.483475
2010-01-04,DKI4,0.50095625
2010-01-04,DKI5,0.39193125
2010-01-05,DKI1,0.207575
2010-01-05,DKI2,0.0992
2010-01-05,DKI3,0.4669
2010-01-05,DKI4,0.49707499999999993
2010-01-05,DKI5,0.399075
2010-01-06,DKI1,0.20889375
2010-01-06,DKI2,0.100525
2010-01-06,DKI3,0.450325
2010-01-06,DKI4,0.49319375
2010-01-06,DKI5,0.40621875
2010-01-07,DKI1,0.2102125
2010-01-07,DKI2,0.10185
2010-01-07,DKI3,0.43375
2010-01-07,DKI4,0.4893125
2010-01-07,DKI5,0.4133625
2010-01-08,DKI1,0.21153125
2010-01-08,DKI2,0.10317499999999999
2010-01-08,DKI3,0.417175
2010-01-08,DKI4,0.48543125
2010-01-08,DKI5,0.42050624999999997
2010-01-09,DKI1,0.21284999999999998
2010-01-09,DKI2,0.1045
2010-01-09,DKI3,0.4006
2010-01-09,DKI4,0.48155
2010-01-09,DKI5,0.42765
2010-01-10,DKI1,0.21416875
2010-01-10,DKI2,0.105825
2010-01-10,DKI3,0.384025
2010-01-10,DKI4,0.47766875
2010-01-10,DKI5,0.43479375
2010-01-11,DKI1,0.2154875
2010-01-11,DKI2,0.10715
2010-01-11,DKI3,0.36745
2010-01-11,DKI4,0.4737875
2010-01-11,DKI5,0.4419375
2010-01-12,DKI1,0.21680625
2010-01-12,DKI2,0.10847499999999999
2010-01-12,DKI3,0.35087500000000005
2010-01-12,DKI4,0.46990624999999997
2010-01-12,DKI5,0.44908125
2010-01-13,DKI1,0.21812499999999999
